Column,  (Number) from top,"Year, Vintage, or NV",Name,Type
1.0,1,,,
1.0,2,,,
1.0,3,,,
1.0,4,,,
1.0,5,,,
1.0,6,,,
1.0,7,,,
1.0,8,,,
1.0,9,,,
1.0,10,,,
1.0,11,,,
1.0,12,,,
1.0,13,,,
1.0,14,,,
,,,,
1.0,15,,,
1.0,16,,,
1.0,17,,,
1.0,18,,,
1.0,19,,,
1.0,20,,,
1.0,21,,,
1.0,22,,,
1.0,23,,,
1.0,24,,,
1.0,25,,,
,,,,
,,,,
,,Column 2,,
,,,,
,No,,,
2.0,1,,,
2.0,2,,,
2.0,3,,,
2.0,4,,,
2.0,5,2001,A. Rafanelli ,Z
2.0,6,2001,A. Rafanelli ,Z
2.0,7,2001,A. Rafanelli ,Z
2.0,8,2002,A. Rafanelli ,Z
2.0,9,2002,A. Rafanelli ,Z
2.0,10,1998,A. Rafanelli ,C
2.0,11,2000,A. Rafanelli ,Z
2.0,12,1999,A. Rafanelli ,Z
2.0,13,2001,A. Rafanelli ,Z
2.0,14,2001,A. Rafanelli ,Z
,,,,
2.0,15,1998,A. Rafanelli ,Z
2.0,16,1998,A. Rafanelli ,Z
2.0,17,1998,A. Rafanelli ,Z
2.0,18,1998,A. Rafanelli ,Z
2.0,19,2009,A. Rafanelli ,Z
2.0,20,2009,A. Rafanelli ,Z
2.0,21,2009,A. Rafanelli ,Z
2.0,22,2009,A. Rafanelli ,Z
2.0,23,2009,A. Rafanelli ,Z
2.0,24,2009,A. Rafanelli ,Z
2.0,25,2009,A. Rafanelli ,Z
,,,,
,,,,
,,Column 3,,
,,,,
,No,,,
3.0,1,2001,A. Rafanelli ,Z
3.0,2,2000,A. Rafanelli ,Z
3.0,3,2000,A. Rafanelli ,Z
3.0,4,2000,A. Rafanelli ,Z
3.0,5,2000,A. Rafanelli ,Z
3.0,6,2008,A. Rafanelli ,Z
3.0,7,2000,A. Rafanelli ,Z
3.0,8,2006,A. Rafanelli ,C
3.0,9,1998,A. Rafanelli ,Z
3.0,10,1986,A. Rafanelli ,Z
3.0,11,1999,A. Rafanelli ,C
3.0,12,1990,A. Rafanelli ,C
3.0,13,1990,A. Rafanelli ,C
3.0,14,1991,A. Rafanelli ,Z
,,,,
3.0,15,1996,A. Rafanelli Terrace Select (signed),C
3.0,16,1997,A. Rafanelli Terrace Select (signed),C
3.0,17,1997,A. Rafanelli Terrace Select (signed),C
3.0,18,1998,A. Rafanelli Terrace Select,C
3.0,19,,,
3.0,20,2000,A. Rafanelli Terrace Select,C
3.0,21,2000,A. Rafanelli Terrace Select,C
3.0,22,2001,A. Rafanelli Terrace Select,C
3.0,23,2001,A. Rafanelli Terrace Select,C
3.0,24,2002,A. Rafanelli Terrace Select,C
3.0,25,2002,A. Rafanelli Terrace Select,C
,,,,
,,,,
,,Column 4,,
,,,,
,No,,,
4.0,1,,,
4.0,2,,,
4.0,3,,,
4.0,4,2000,A. Rafanelli,Z
4.0,5,2000,A. Rafanelli,Z
4.0,6,2000,A. Rafanelli,Z
4.0,7,2000,A. Rafanelli,Z
4.0,8,2000,A. Rafanelli,Z
4.0,9,2000,A. Rafanelli,Z
4.0,10,2009,A. Rafanelli,Z
4.0,11,2009,A. Rafanelli,Z
4.0,12,1991,A. Rafanelli,Z
4.0,13,2001,A. Rafanelli,Z
4.0,14,2005,A. Rafanelli,Z
,,,,
4.0,15,2003,A. Rafanelli Terrace Select,C
4.0,16,2003,A. Rafanelli Terrace Select,C
4.0,17,2004,A. Rafanelli Terrace Select,C
4.0,18,2004,A. Rafanelli Terrace Select,C
4.0,19,2005,A. Rafanelli Terrace Select,C
4.0,20,2005,A. Rafanelli Terrace Select,C
4.0,21,2006,A. Rafanelli Terrace Select,C
4.0,22,2006,A. Rafanelli Terrace Select,C
4.0,23,2007,A. Rafanelli Terrace Select,C
4.0,24,2007,A. Rafanelli Terrace Select,C
4.0,25,2008,A. Rafanelli Terrace Select,C
,,,,
,,,,
,,Column 5,,
,,,,
,No,,,
5.0,1,,,
5.0,2,,,
5.0,3,,,
5.0,4,,,
5.0,5,1999,A. Rafanelli,Z
5.0,6,1999,A. Rafanelli,C
5.0,7,1999,A. Rafanelli,C
5.0,8,1999,A. Rafanelli,C
5.0,9,1999,A. Rafanelli,Z
5.0,10,1998,A. Rafanelli,Z
5.0,11,1991,A. Rafanelli,C
5.0,12,1999,A. Rafanelli,C
5.0,13,1999,A. Rafanelli,C
5.0,14,1998,A. Rafanelli,C
,,,,
5.0,15,2008,A. Rafanelli Terrace Select,C
